,,delta_ms,ACCx,ACCy,ACCz,gyro__x,gyro__y,gyro__z,CF_angle__x,CF_angle__y,kalman__x,kalman__y,comp_heading,heading,,time_ms,
0,0,0,1,1,1,0.2872674,-1.3542606,-0.8618022,27.11490719,-27.54170309,31.63312495,-31.95210106,45,32.15454778,,0,1000
1,0.011221,11,1,1,1,0.89316906,-1.73489113,-1.02492957,38.08832377,-38.1689323,39.05064516,-39.09433059,45,32.15454778,,11.221,
2,0.12196,110,1,1,1,0.73204971,-1.97273398,-1.10932542,42.170882,-42.36270891,41.9122351,-42.13633366,45,32.15454778,,121.96,
3,0.231393,109,1,1,1,0.79325547,-2.03393974,-1.18583262,43.89283533,-43.96956472,43.44952692,-43.56477599,45,32.15454778,,231.393,
4,0.340683,109,-34.4,-439.2,-3095.2,0.94637067,-2.26361254,-1.3236363,-85.53590631,89.93825059,-60.10319855,63.584869,143.2445079,146.4133927,,340.683,
5,0.450123,109,-45.04,-699.92,-4989.52,1.11465879,-2.4624985,-1.45367712,-137.3559083,143.5854321,-114.287494,119.6879022,143.3499908,146.4648844,,450.123,
6,0.559364,109,-59.824,-871.152,-6112.512,1.32902203,-2.65389425,-1.50726793,-157.989934,165.0211687,-142.6336269,149.1083739,143.256333,146.432452,,559.364,
7,0.668876,109,-69.0944,-975.8912,-6789.1072,1.40562933,-2.99096637,-1.64516107,-166.2574068,173.5237833,-157.5539206,164.4681136,143.1075701,146.2405424,,668.876,
8,0.77836,109,-78.65664,-1035.53472,-7196.66432,1.56672222,-3.044664,-1.68351652,-169.5256419,177.0123178,-165.3358925,172.6561577,143.0691531,146.2000056,,778.36,
9,0.887878,109,-81.18590054,-1078.520832,-7439.598592,1.49681616,-3.30098622,-1.70681854,-170.8889877,178.3272635,-169.5190227,176.8582562,143.0224596,146.195316,,887.878,
10,0.999215,111,-81.30983424,-1109.912499,-7587.759155,1.47356244,-3.56452838,-1.79208218,-171.3716864,178.8571169,-171.6293103,179.0423554,143.0859919,146.2826696,,999.215,
11,1.109939,110,-83.5163904,-1129.9475,-7676.655493,1.44246256,-3.73557772,-1.86983188,-171.5370796,179.1004405,-172.6947242,180.2129127,143.1812256,146.4178032,,1109.939,
12,1.221091,111,-83.91154033,-1153.5685,-7726.793296,1.39593286,-3.89067672,-1.84656703,-171.538704,179.2048188,-173.1774173,180.8100878,143.1996723,146.4766893,,1221.091,
13,1.33183,110,-85.193984,-1176.9411,-7754.075978,1.1013884,-4.1542165,-1.88532288,-171.5548922,179.1988223,-173.4640417,181.0399105,143.2527686,146.5999588,,1331.83,
14,1.44263,110,-89.1469242,-1185.36466,-7754.075978,0.77626556,-4.3864471,-2.04014328,-171.5371002,179.1914243,-173.5701895,181.1378452,143.2545264,146.6409512,,1442.63,
15,1.553224,110,-93.08815452,-1198.018796,-7754.075978,0.61316024,-4.51848474,-2.05567712,-171.4103692,179.2110713,-173.4690223,181.2035234,143.251256,146.6795788,,1553.224,
16,1.664341,111,-93.08815452,-1203.211278,-7767.522613,1.56612365,-4.68893348,-1.40487284,-170.8997853,179.2042801,-172.8037759,181.1901806,143.246487,146.6816151,,1664.341,
17,1.774924,110,-96.07062483,-1204.726767,-7770.445587,20.37960407,-4.41717458,-3.30718514,-163.5467537,179.3654087,-163.3283337,181.3725488,143.246487,146.7071134,,1774.924,
18,1.885994,111,-96.07062483,-1223.532982,-7770.445587,39.65471636,-4.40940549,-4.13070868,-160.33967,179.3242642,-158.3203416,181.2995594,143.246487,146.7651667,,1885.994,
19,1.998627,112,-96.07062483,-1231.221636,-7767.522613,49.52057124,-5.16348357,-4.29566326,-162.7853524,179.0029076,-160.7737427,180.8486894,143.246487,146.7902465,,1998.627,
20,2.109157,110,-96.07062483,-1250.03606,-7726.537689,54.49228582,-5.62740717,-3.94772056,-165.6114824,178.9881718,-164.5384042,180.7299852,143.2461024,146.8720561,,2109.157,
21,2.219629,110,-88.4423749,-1658.519789,-7676.896148,53.53065466,-5.94536586,-3.86241457,-167.3147391,179.0720545,-168.1031491,180.7479496,144.1509133,149.2330581,,2219.629,
22,2.330529,110,8.320745038,-2837.511873,-7044.628141,47.97926322,-5.58095888,-2.73042693,-163.9829776,-36.18481011,-167.4447582,4.331459289,148.2423474,159.4224602,,2330.529,
23,2.441297,110,8.320745038,-4306.107124,-6080.776884,32.90949186,-5.09258666,-1.39709325,-158.4385507,-122.2315337,-165.1945191,-88.4666971,152.7813002,173.3902549,,2441.297,
24,2.552097,110,8.320745038,-5426.864274,-5226.642811,19.48837506,-2.42079026,-0.27866685,-149.0978554,-155.769166,-157.5210431,-136.1492322,156.8506908,184.9830873,,2552.097,
25,2.66313,111,8.320745038,-5426.864274,-5226.642811,9.67198771,-5.1833467,1.50613085,-143.9196855,-171.3579601,-151.358183,-163.8917406,156.8506908,184.9830873,,2663.13,
26,2.773992,110,8.320745038,-5426.864274,-5226.642811,1.10593931,-5.2608675,2.66894285,-141.3482819,-176.5194635,-147.2675114,-176.8875795,156.8506908,184.9830873,,2773.992,
27,2.884744,110,1.569901134,-5426.864274,-5226.642811,-2.61270709,-1.2710698,3.61409881,-138.3807597,-177.0015401,-142.4788287,-181.5012616,156.8506908,184.9440317,,2884.744,
28,2.995451,110,-92.47483559,-5426.864274,-5226.642811,-3.36468601,-1.64318308,3.52882285,-136.0070838,36.44236306,-138.3796843,-8.67075736,156.8506908,184.557273,,2995.451,
29,3.106247,110,-92.47483559,-4678.341766,-5879.585686,-3.75231101,-1.99979808,3.24198035,-139.4524841,121.8936513,-139.7711133,82.69069054,152.8503305,176.617051,,3106.247,
30,3.217036,110,-103.1265645,-3633.00506,-6518.951412,-4.44973991,-1.99204887,2.88551669,-146.5814381,156.2167716,-145.30581,131.080116,149.2532061,165.8083189,,3217.036,
31,3.328145,111,-103.1265645,-2621.803036,-7092.570847,-4.73786187,-2.23344835,2.69862677,-154.5755791,169.8903333,-152.3990614,156.5034163,146.0519122,156.1740516,,3328.145,
32,3.439165,111,-103.1265645,-1945.081821,-7411.942508,-4.78441635,-2.59812511,2.70638585,-161.0262719,175.3319807,-158.7794206,169.7653029,144.0964504,150.7185426,,3439.165,
33,3.549931,110,-100.8673379,-1570.649093,-7580.365505,-4.87747407,-2.91607232,2.36517421,-165.4241197,177.5482007,-163.650842,176.702546,143.0488612,148.0195384,,3549.931,
34,3.660752,110,-100.8673379,-1293.589456,-7687.019303,-4.09469074,-3.10983057,1.48163659,-168.1251153,178.4907099,-166.8374679,180.3242481,142.1608119,146.0457892,,3660.752,
35,3.771493,110,-94.52040276,-1260.139596,-7748.611582,12.13054262,-3.00135241,-0.43997653,-163.2177418,179.0203475,-160.8979787,182.3033977,142.2224577,145.933046,,3771.493,
36,3.882232,110,-91.91224165,-1260.139596,-7748.611582,28.39088182,-3.73764041,-0.78874453,-161.2407501,178.9058658,-158.1174367,182.8152206,142.2224577,145.9305231,,3882.232,
37,3.992994,110,-91.07593869,-1260.139596,-7748.611582,40.92248629,-2.55190418,-0.25400074,-161.9414473,179.6325926,-158.8927339,183.9617005,142.2224577,145.9297133,,3992.994,
38,4.103745,110,-86.40462652,-1260.139596,-7748.611582,49.73190229,-2.76922898,-0.62655754,-163.7106016,179.382781,-161.445004,183.7408786,142.2224577,145.8926588,,4103.745,
39,4.214701,110,-83.3410442,-1260.139596,-7748.611582,50.48389479,-2.98629898,-0.77385504,-167.6412327,179.2965485,-167.0052013,183.5338548,142.2224577,145.8787421,,4214.701,
40,4.325442,110,-75.94734499,-2352.083758,-7313.022277,44.33461333,-3.2350689,-0.63392196,-166.8186127,179.2621071,-169.093985,183.3262329,145.2015798,153.6191021,,4325.442,
