,time_ms,delta_ms,ACCx,ACCy,ACCz,GRYOx,GRYOy,GRYOz,CF_angle__x,CF_angle__y,kalman__x,kalman__y,comp_heading,heading,,time_ms,,
0,0,0,-97.21415492,-692.9408231,-7763.512694,-12.53594797,-12.65959401,-1.20586438,-172.7550437,179.0830372,-171.5072993,179.5251275,141.466202,143.351334,,0,,1000
1,0.011459,11,-97.21415492,-692.9408231,-7802.900987,-12.35002741,-12.83776788,-1.29107797,-173.9827284,179.1336687,-173.1886795,179.4521278,141.466202,143.3413504,,11.459,,
2,0.121986,110,-97.21415492,-692.9408231,-7803.340592,-11.73602661,-13.22151838,-1.36782807,-174.3027408,179.0717148,-173.7559568,179.3194119,141.466202,143.3412395,,121.986,,
3,0.23146,109,-97.21415492,-692.9408231,-7803.340592,-11.67477437,-13.54309264,-1.5286152,-174.6518452,179.0718037,-174.3326035,179.2835273,141.466202,143.3412395,,231.46,,
4,0.340857,109,-99.07709577,-692.9408231,-7803.340592,-11.17241797,-13.86769216,-1.74501488,-174.6150453,179.0624233,-174.4185997,179.258725,141.466202,143.3437129,,340.857,,
5,0.451314,110,-99.07709577,-939.7644938,-7816.507616,-10.03251284,-14.15075585,-1.66086081,-173.2766602,179.0760207,-173.2650188,179.266639,142.0718779,144.6888154,,451.314,,
6,0.560567,109,-101.0277545,-1084.258696,-7831.402541,-9.65733601,-14.3421726,-1.74508418,-172.4310955,179.1103856,-172.5535437,179.3102956,142.2882533,145.3599566,,560.567,,
7,0.670025,109,-100.0541058,-1161.303878,-7803.641524,-9.50439161,-14.51805866,-1.81390916,-171.8326283,179.133055,-172.0051712,179.3405585,142.447872,145.80348,,670.025,,
8,0.779232,109,-100.0541058,-1218.955218,-7803.340592,-9.6050367,-14.75805849,-1.96100583,-171.4462769,179.1164602,-171.6358928,179.322925,142.6854496,146.245914,,779.232,,
9,0.890232,110,-103.4235097,-1218.955218,-7802.900987,-12.83758966,-14.37730105,-0.08830087,-172.5442042,179.3432582,-172.9984252,179.61023,142.6854496,146.249359,,890.232,,
10,1.001285,111,-109.0391829,-1218.955218,-7782.584915,-12.82208704,-14.8811362,-0.266581,-171.6704685,179.05415,-171.9909876,179.2792196,142.6599288,146.2406709,,1001.285,,
11,1.111998,110,-112.3986382,-1218.955218,-7782.562613,-15.18635888,-14.66337432,-1.95423557,-172.272869,179.2123077,-172.6491202,179.4597636,142.6599288,146.2438896,,1111.998,,
12,1.226219,114,-112.3986382,-1161.303878,-7782.562613,-14.78001077,-14.84662935,-3.30076166,-171.6544209,179.115164,-171.7527518,179.3431512,142.4508395,145.8285948,,1226.219,,
13,1.337051,110,-109.0391829,-1093.794583,-7769.808043,-15.05198282,-15.06420699,-3.53388056,-171.9626649,179.0766235,-171.8788945,179.2725395,142.2053091,145.3580296,,1337.051,,
14,1.448109,111,-103.4235097,-829.8767496,-7769.808043,-15.07519832,-15.36600849,-3.63448106,-173.1364362,179.0523596,-172.7800181,179.2133952,141.4083989,143.728497,,1448.109,,
15,1.558773,110,-100.0541058,-635.1260498,-7769.808043,-14.79503732,-15.56056474,-3.69673906,-174.3386337,179.1004575,-173.8237612,179.2511787,140.7102572,142.4315396,,1558.773,,
16,1.669936,111,-92.27809702,-377.0756299,-7769.808043,-13.29719713,-15.71578134,-3.10691598,-175.4692575,179.1698321,-174.7276888,179.318406,140.4465524,141.4905474,,1669.936,,
17,1.780778,110,-92.27809702,-377.0756299,-7769.808043,-9.51108529,-16.05645398,-3.85020174,-175.0061983,179.1233996,-174.105209,179.2590657,140.5097896,141.5454006,,1780.778,,
18,1.89138,110,-92.27809702,-377.0756299,-7818.284826,-6.10659889,-16.29741078,-4.72075534,-174.9839453,179.1472441,-174.085239,179.2835594,140.5097896,141.5388674,,1891.38,,
19,2.00255,111,-92.27809702,-377.0756299,-7818.284826,-2.55016132,-16.59959175,-5.86749338,-174.9142636,179.1322922,-174.0871326,179.2659656,140.5097896,141.5388674,,2002.55,,
